config,lambda_phy,amp_ssim,phase_ssim,amp_psnr,phase_psnr,freq_ssim,bs_ratio
No Physics (λ=0.0),0.0,0.8362126284857192,0.9485394833479281,36.56277850857484,43.27810880819259,0.19819815184803266,0.8650377859031001
Current (λ=0.1),0.1,0.9277890965142687,0.9695644435414934,38.426569654699215,45.90852256750022,0.23131856952639637,0.47128404917255523
High Physics (λ=0.2),0.2,0.9040665044904769,0.9635805658961512,38.69888800668452,45.41432580026462,0.2308427794923376,0.49929088282008327
