model,model_id,num_parameters,inference_time_ms,training_time_sec,best_val_loss,amp_ssim,phase_ssim,amp_psnr,phase_psnr,freq_ssim,bs_ratio
"HoloPASWIN (Swin-Tiny, Pretrained, Residual)",swin_pretrained_residual,30883820,12.147433757781982,1386.3456587791443,0.18496015738873256,0.8970394458833664,0.937056549917808,37.65529804884799,43.58432071069855,0.14945638298392874,0.6815521614325624
"ResNet-18 U-Net (Pretrained, Residual)",resnet18_pretrained_residual,15559842,9.034426212310791,958.1014878749847,0.4587241330790141,0.47471485622771775,0.7523955224838984,29.249287768628708,41.07767062065633,-0.10465396731275439,0.7102488699038664
"HoloPASWIN (Swin-Tiny, Pretrained, Direct)",swin_pretrained_direct,30883820,13616.046197414398,1613.4761559963226,0.1556178300626694,0.9704758093909414,0.958927794765349,41.20732633444617,44.604655123042804,0.2502256519645422,0.5659946480225171
"HoloPASWIN (Swin-Tiny, From Scratch, Residual)",swin_scratch_residual,30883820,39.06041860580444,8441.657612085342,0.14487511510886844,0.9526423536533443,0.9567646939222026,38.84532393151695,42.090110098302475,0.28041522251086287,1.2115895154495393
